trans_num,amount,trans_date,trans_time,category,first,last,gender,dob,city,job
0b242abb623afc578575680df30655b9,4.97,1970-02-01,00:00:18,misc_net,Bianca,lattanzi,F,1988-03-09,Crema,Psychology & Counseling
1f76529f8574734946361c461b024d99,107.23,1979-01-01,00:00:44,grocery_pos,Bianca,lattanzi,F,1988-03-09,Crema,Psychology & Counseling
a1a22d70485983eac12b5b88dad1cf95,220.11,1978-03-01,00:00:51,entertainment,Bianca,lattanzi,F,1988-03-09,Crema,Psychology & Counseling
6b849c168bdad6f867558c3793159a81,45.0,2019-03-02,00:01:16,gas_transport,Bianca,lattanzi,F,1988-03-09,Crema,Psychology & Counseling
a41d7549acf90789359a9aa5346dcb46,41.96,2023-02-07,00:03:06,misc_pos,Bianca,lattanzi,F,1988-03-09,Crema,Psychology & Counseling
189a841a0a8ba03058526bcfe566aab5,94.63,2021-01-01,00:04:08,gas_transport,Bianca,lattanzi,F,1988-03-09,Crema,Psychology & Counseling
83ec1cc84142af6e2acf10c44949e720,44.54,2021-02-01,00:04:42,grocery_net,Bianca,lattanzi,F,1988-03-09,Crema,Psychology & Counseling
6d294ed2cc447d2c71c7171a3d54967c,71.65,2012-03-03,00:05:08,gas_transport,Bianca,lattanzi,F,1988-03-09,Crema,Psychology & Counseling
fc28024ce480f8ef21a32d64c93a29f5,4.27,2013-01-01,00:05:18,misc_pos,Bianca,lattanzi,F,1988-03-09,Crema,Psychology & Counseling
3b9014ea8fb80bd65de0b1463b00b00e,198.39,2015-01-01,00:06:01,grocery_pos,Bianca,lattanzi,F,1988-03-09,Crema,Psychology & Counseling
0b242abb623aMc578575686dM30655b9,4.97,2014-01-01,00:00:18,misc_net,Giorgio,Martinez,M,1979-02-16,Rovigo,IT
1M76529M8574734946361c661b024d99,107.23,2019-11-01,00:00:44,grocery_pos,Giorgio,Martinez,M,1979-02-16,Rovigo,IT
a1a22d70485983eac12b5b68dad1cM95,220.11,2020-12-01,00:00:51,entertainment,Giorgio,Martinez,M,1979-02-16,Rovigo,IT
6b849c168bdad6M867558c6793159a81,45.0,2024-01-01,00:01:16,gas_transport,Giorgio,Martinez,M,1979-02-16,Rovigo,IT
a41d7549acM90789359a9a65346dcb46,41.96,2024-02-02,00:03:06,misc_pos,Giorgio,Martinez,M,1979-02-16,Rovigo,IT
189a841a0a8ba03058526b6Me566aab5,94.63,2013-05-02,00:04:08,gas_transport,Giorgio,Martinez,M,1979-02-16,Rovigo,IT
83ec1cc84142aM6e2acM10644949e720,44.54,2018-08-08,00:04:42,grocery_net,Giorgio,Martinez,M,1979-02-16,Rovigo,IT
6d294ed2cc447d2c71c7173a3d54967c,71.65,2017-02-15,00:05:08,gas_transport,Giorgio,Martinez,M,1979-02-16,Rovigo,IT
Mc28024ce480M8eM21a32d34c93a29M5,4.27,2017-12-12,00:05:18,misc_pos,Giorgio,Martinez,M,1979-02-16,Rovigo,IT
3b9014ea8Mb80bd65de0b1563b00b00e,198.39,2007-08-01,00:06:01,grocery_pos,Giorgio,Martinez,M,1979-02-16,Rovigo,IT
